,Country code,Year,Financing scheme,Function,Provider,Share of current expenditure on health (in %),Share of gross domestic product (in %)
25,AUS,2010,All financing schemes,Preventive care,Rest of the economy,0.015,0.001
26,AUS,2010,All financing schemes,Governance and health system and financing administration,Providers of ambulatory health care,0.006,0.0
27,AUS,2010,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,2.492,0.21
28,AUS,2010,All financing schemes,Governance and health system and financing administration,Hospitals,0.044,0.004
29,AUS,2010,All financing schemes,Governance and health system and financing administration,Rest of the economy,0.19,0.016
30,AUS,2010,All financing schemes,Governance and health system and financing administration,All providers,2.731,0.23
31,AUS,2010,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,3.418,0.288
32,AUS,2010,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,29.604,2.494
33,AUS,2010,All financing schemes,Inpatient curative and rehabilitative care,Providers of health care system administration and financing,0.096,0.008
34,AUS,2010,All financing schemes,Inpatient curative and rehabilitative care,All providers,33.117,2.79
35,AUS,2010,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.167,0.014
36,AUS,2010,All financing schemes,Ancillary services (non-specified by function),Providers of health care system administration and financing,0.101,0.009
37,AUS,2010,All financing schemes,Ancillary services (non-specified by function),All providers,5.974,0.503
38,AUS,2010,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,5.706,0.481
39,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,34.71,2.924
40,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,17.351,1.462
41,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,1.546,0.13
42,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,2.119,0.179
43,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,7.806,0.658
44,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,4.898,0.413
45,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),All providers,68.636,5.781
46,AUS,2010,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,0.205,0.017
47,AUS,2010,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,5.16,0.435
48,AUS,2010,Government/compulsory schemes,Preventive care,All providers,1.743,0.147
49,AUS,2010,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,24.261,2.044
50,AUS,2010,Government/compulsory schemes,Long-term care (health),All providers,1.121,0.094
51,AUS,2010,Government/compulsory schemes,Medical goods (non-specified by function),All providers,8.757,0.738
52,AUS,2010,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,22.247,1.874
53,AUS,2010,Government/compulsory schemes,Governance and health system and financing administration,All providers,1.93,0.163
54,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,8.706,0.733
55,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,11.03,0.929
56,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.014,0.001
57,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.891,0.075
58,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,9.914,0.835
59,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.808,0.068
60,AUS,2010,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,31.364,2.642
61,AUS,2010,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,0.038,0.003
62,AUS,2010,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.814,0.069
63,AUS,2010,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,8.856,0.746
64,AUS,2010,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,0.082,0.007
65,AUS,2010,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,9.914,0.835
66,AUS,2010,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,9.97,0.84
67,AUS,2010,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,0.801,0.068
68,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,6.477,0.546
69,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,3.579,0.301
70,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of preventive care,0.002,0.0
71,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.837,0.071
72,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.509,0.043
73,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.21,0.018
74,AUS,2010,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,11.614,0.978
75,AUS,2010,Voluntary health care payment schemes,Ancillary services (non-specified by function),All providers,0.216,0.018
76,AUS,2010,Voluntary health care payment schemes,Preventive care,All providers,0.026,0.002
77,AUS,2010,Voluntary health care payment schemes,Long-term care (health),All providers,0.045,0.004
78,AUS,2010,Voluntary health care payment schemes,Inpatient curative and rehabilitative care,All providers,6.957,0.586
79,AUS,2010,Voluntary health care payment schemes,Medical goods (non-specified by function),All providers,0.509,0.043
80,AUS,2010,Voluntary health care payment schemes,Outpatient curative and rehabilitative care,All providers,2.921,0.246
81,AUS,2010,Voluntary health care payment schemes,Governance and health system and financing administration,All providers,0.801,0.068
82,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,2.229,0.188
83,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,7.451,0.628
84,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.012,0.001
85,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.054,0.005
86,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,9.406,0.792
87,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.598,0.05
88,AUS,2010,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,19.749,1.664
89,AUS,2010,Household out-of-pocket payments,Preventive care,All providers,0.012,0.001
90,AUS,2010,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.598,0.05
91,AUS,2010,Household out-of-pocket payments,Long-term care (health),All providers,0.037,0.003
92,AUS,2010,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,9.406,0.792
93,AUS,2010,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,1.9,0.16
94,AUS,2010,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,7.049,0.594
95,AUS,2015,All financing schemes,Current expenditure on health (all functions),Hospitals,40.53,4.127
96,AUS,2015,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,7.109,0.724
97,AUS,2015,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,26.661,2.715
98,AUS,2015,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,0.962,0.098
99,AUS,2015,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,3.165,0.322
100,AUS,2015,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,14.845,1.512
101,AUS,2015,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,5.322,0.542
102,AUS,2015,All financing schemes,Current expenditure on health (all functions),All providers,100.0,10.184
103,AUS,2015,All financing schemes,Current expenditure on health (all functions),Rest of the economy,1.406,0.143
104,AUS,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,22.356,2.277
105,AUS,2015,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,8.164,0.831
106,AUS,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.097,0.01
107,AUS,2015,All financing schemes,Outpatient curative and rehabilitative care,Retailers and other providers of medical goods,0.012,0.001
108,AUS,2015,All financing schemes,Outpatient curative and rehabilitative care,All providers,30.629,3.119
109,AUS,2015,All financing schemes,Long-term care (health),Hospitals,2.041,0.208
110,AUS,2015,All financing schemes,Long-term care (health),Residential long-term care facilities,7.109,0.724
111,AUS,2015,All financing schemes,Long-term care (health),Providers of ambulatory health care,0.001,0.0
112,AUS,2015,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.001,0.0
113,AUS,2015,All financing schemes,Long-term care (health),All providers,10.465,1.066
114,AUS,2015,All financing schemes,Long-term care (health),Rest of the economy,1.313,0.134
115,AUS,2015,All financing schemes,Medical goods (non-specified by function),Hospitals,0.313,0.032
116,AUS,2015,All financing schemes,Medical goods (non-specified by function),Providers of ambulatory health care,0.027,0.003
117,AUS,2015,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,14.833,1.511
118,AUS,2015,All financing schemes,Medical goods (non-specified by function),All providers,15.174,1.545
119,AUS,2015,All financing schemes,Preventive care,Providers of ambulatory health care,0.125,0.013
120,AUS,2015,All financing schemes,Preventive care,Providers of preventive care,0.962,0.098
121,AUS,2015,All financing schemes,Preventive care,Hospitals,0.04,0.004
122,AUS,2015,All financing schemes,Preventive care,Providers of health care system administration and financing,0.654,0.067
123,AUS,2015,All financing schemes,Preventive care,All providers,1.783,0.182
124,AUS,2015,All financing schemes,Preventive care,Providers of ancillary services,0.001,0.0
125,AUS,2015,All financing schemes,Governance and health system and financing administration,Providers of ambulatory health care,0.382,0.039
126,AUS,2015,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,2.216,0.226
127,AUS,2015,All financing schemes,Governance and health system and financing administration,Hospitals,0.061,0.006
128,AUS,2015,All financing schemes,Governance and health system and financing administration,Rest of the economy,0.093,0.009
129,AUS,2015,All financing schemes,Governance and health system and financing administration,All providers,2.753,0.28
130,AUS,2015,All financing schemes,Other health care services unknown,Hospitals,0.002,0.0
131,AUS,2015,All financing schemes,Other health care services unknown,Providers of ambulatory health care,0.012,0.001
132,AUS,2015,All financing schemes,Other health care services unknown,All providers,0.013,0.001
133,AUS,2015,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,3.042,0.31
134,AUS,2015,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,25.322,2.579
135,AUS,2015,All financing schemes,Inpatient curative and rehabilitative care,Providers of health care system administration and financing,0.065,0.007
136,AUS,2015,All financing schemes,Inpatient curative and rehabilitative care,All providers,28.429,2.895
137,AUS,2015,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.167,0.017
138,AUS,2015,All financing schemes,Ancillary services (non-specified by function),Providers of health care system administration and financing,0.113,0.012
139,AUS,2015,All financing schemes,Ancillary services (non-specified by function),All providers,5.602,0.571
140,AUS,2015,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,5.322,0.542
141,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,30.209,3.076
142,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,7.109,0.724
143,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,16.175,1.647
144,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,0.951,0.097
145,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,1.961,0.2
146,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.151,0.626
147,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,4.633,0.472
148,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),All providers,68.595,6.985
149,AUS,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,1.406,0.143
150,AUS,2015,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,4.903,0.499
151,AUS,2015,Government/compulsory schemes,Preventive care,All providers,1.686,0.172
152,AUS,2015,Government/compulsory schemes,Other health care services unknown,All providers,0.013,0.001
153,AUS,2015,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,17.739,1.806
154,AUS,2015,Government/compulsory schemes,Long-term care (health),All providers,10.36,1.055
155,AUS,2015,Government/compulsory schemes,Medical goods (non-specified by function),All providers,6.48,0.66
156,AUS,2015,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,21.373,2.177
157,AUS,2015,Government/compulsory schemes,Governance and health system and financing administration,All providers,1.654,0.168
158,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,10.321,1.051
159,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,10.486,1.068
160,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.011,0.001
161,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,1.204,0.123
162,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,8.694,0.885
163,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.689,0.07
164,AUS,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,31.405,3.198
165,AUS,2015,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,0.097,0.01
166,AUS,2015,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.699,0.071
167,AUS,2015,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,10.69,1.089
168,AUS,2015,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,0.104,0.011
169,AUS,2015,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,8.694,0.885
170,AUS,2015,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,9.256,0.943
171,AUS,2015,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,1.099,0.112
172,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,8.4,0.855
173,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,3.772,0.384
174,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of preventive care,0.001,0.0
175,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,1.182,0.12
176,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.619,0.063
177,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.235,0.024
178,AUS,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,14.208,1.447
179,AUS,2015,Voluntary health care payment schemes,Ancillary services (non-specified by function),All providers,0.239,0.024
180,AUS,2015,Voluntary health care payment schemes,Preventive care,All providers,0.085,0.009
181,AUS,2015,Voluntary health care payment schemes,Long-term care (health),All providers,0.045,0.005
182,AUS,2015,Voluntary health care payment schemes,Inpatient curative and rehabilitative care,All providers,9.347,0.952
183,AUS,2015,Voluntary health care payment schemes,Medical goods (non-specified by function),All providers,0.619,0.063
184,AUS,2015,Voluntary health care payment schemes,Outpatient curative and rehabilitative care,All providers,2.669,0.272
185,AUS,2015,Voluntary health care payment schemes,Governance and health system and financing administration,All providers,1.094,0.111
186,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,1.921,0.196
187,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,6.714,0.684
188,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.011,0.001
189,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.022,0.002
190,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,8.075,0.822
191,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.454,0.046
192,AUS,2015,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,17.198,1.751
193,AUS,2015,Household out-of-pocket payments,Preventive care,All providers,0.012,0.001
194,AUS,2015,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.46,0.047
195,AUS,2015,Household out-of-pocket payments,Long-term care (health),All providers,0.059,0.006
196,AUS,2015,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,8.075,0.822
197,AUS,2015,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,1.343,0.137
198,AUS,2015,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,6.587,0.671
199,AUS,2015,Household out-of-pocket payments,Governance and health system and financing administration,All providers,0.004,0.0
200,AUS,2019,All financing schemes,Current expenditure on health (all functions),Hospitals,42.679,4.366
201,AUS,2019,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,6.981,0.714
202,AUS,2019,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,24.211,2.477
203,AUS,2019,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,1.122,0.115
204,AUS,2019,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,3.464,0.354
205,AUS,2019,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,14.12,1.444
206,AUS,2019,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,5.402,0.553
207,AUS,2019,All financing schemes,Current expenditure on health (all functions),All providers,100.0,10.23
208,AUS,2019,All financing schemes,Current expenditure on health (all functions),Rest of the economy,2.021,0.207
209,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,20.449,2.092
210,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,9.535,0.975
211,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.243,0.025
212,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,Retailers and other providers of medical goods,0.01,0.001
213,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,All providers,30.238,3.093
214,AUS,2019,All financing schemes,Outpatient curative and rehabilitative care,Rest of the economy,0.002,0.0
215,AUS,2019,All financing schemes,Long-term care (health),Hospitals,2.166,0.222
216,AUS,2019,All financing schemes,Long-term care (health),Residential long-term care facilities,6.981,0.714
217,AUS,2019,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.003,0.0
218,AUS,2019,All financing schemes,Long-term care (health),All providers,11.103,1.136
219,AUS,2019,All financing schemes,Long-term care (health),Rest of the economy,1.953,0.2
220,AUS,2019,All financing schemes,Medical goods (non-specified by function),Hospitals,0.156,0.016
221,AUS,2019,All financing schemes,Medical goods (non-specified by function),Providers of ambulatory health care,0.036,0.004
222,AUS,2019,All financing schemes,Medical goods (non-specified by function),Providers of preventive care,0.066,0.007
223,AUS,2019,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,14.108,1.443
224,AUS,2019,All financing schemes,Medical goods (non-specified by function),All providers,14.367,1.47
225,AUS,2019,All financing schemes,Medical goods (non-specified by function),Rest of the economy,0.001,0.0
226,AUS,2019,All financing schemes,Preventive care,Providers of ambulatory health care,0.194,0.02
227,AUS,2019,All financing schemes,Preventive care,Providers of preventive care,1.034,0.106
228,AUS,2019,All financing schemes,Preventive care,Hospitals,0.28,0.029
229,AUS,2019,All financing schemes,Preventive care,Providers of health care system administration and financing,0.479,0.049
230,AUS,2019,All financing schemes,Preventive care,Retailers and other providers of medical goods,0.001,0.0
231,AUS,2019,All financing schemes,Preventive care,All providers,1.989,0.203
232,AUS,2019,All financing schemes,Preventive care,Rest of the economy,0.001,0.0
233,AUS,2019,All financing schemes,Governance and health system and financing administration,Providers of ambulatory health care,0.346,0.035
234,AUS,2019,All financing schemes,Governance and health system and financing administration,Providers of preventive care,0.022,0.002
235,AUS,2019,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,2.396,0.245
236,AUS,2019,All financing schemes,Governance and health system and financing administration,Hospitals,0.124,0.013
237,AUS,2019,All financing schemes,Governance and health system and financing administration,Retailers and other providers of medical goods,0.001,0.0
238,AUS,2019,All financing schemes,Governance and health system and financing administration,Rest of the economy,0.065,0.007
239,AUS,2019,All financing schemes,Governance and health system and financing administration,All providers,2.954,0.302
240,AUS,2019,All financing schemes,Other health care services unknown,Hospitals,0.003,0.0
241,AUS,2019,All financing schemes,Other health care services unknown,Providers of ambulatory health care,0.011,0.001
242,AUS,2019,All financing schemes,Other health care services unknown,All providers,0.014,0.001
243,AUS,2019,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,2.665,0.273
244,AUS,2019,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,24.943,2.552
245,AUS,2019,All financing schemes,Inpatient curative and rehabilitative care,Providers of health care system administration and financing,0.147,0.015
246,AUS,2019,All financing schemes,Inpatient curative and rehabilitative care,All providers,27.755,2.839
247,AUS,2019,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.078,0.008
248,AUS,2019,All financing schemes,Ancillary services (non-specified by function),Providers of health care system administration and financing,0.135,0.014
249,AUS,2019,All financing schemes,Ancillary services (non-specified by function),All providers,5.615,0.574
250,AUS,2019,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,5.402,0.553
251,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,33.071,3.383
252,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,6.981,0.714
253,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,15.757,1.612
254,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,1.116,0.114
255,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,2.19,0.224
256,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,6.085,0.623
257,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,4.734,0.484
258,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),All providers,71.956,7.361
259,AUS,2019,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,2.021,0.207
260,AUS,2019,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,4.942,0.506
261,AUS,2019,Government/compulsory schemes,Preventive care,All providers,1.915,0.196
262,AUS,2019,Government/compulsory schemes,Other health care services unknown,All providers,0.014,0.001
263,AUS,2019,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,17.925,1.834
264,AUS,2019,Government/compulsory schemes,Long-term care (health),All providers,10.971,1.122
265,AUS,2019,Government/compulsory schemes,Medical goods (non-specified by function),All providers,6.333,0.648
266,AUS,2019,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,22.768,2.329
267,AUS,2019,Government/compulsory schemes,Governance and health system and financing administration,All providers,1.817,0.186
268,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,9.607,0.983
269,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,8.454,0.865
270,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of preventive care,0.006,0.001
271,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,1.274,0.13
272,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,8.034,0.822
273,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.668,0.068
274,AUS,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,28.044,2.869
275,AUS,2019,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,0.074,0.008
276,AUS,2019,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.674,0.069
277,AUS,2019,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,9.83,1.006
278,AUS,2019,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,0.132,0.013
279,AUS,2019,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,8.034,0.822
280,AUS,2019,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,7.469,0.764
281,AUS,2019,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,1.137,0.116
282,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,8.026,0.821
283,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,3.285,0.336
284,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of preventive care,0.001,0.0
285,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,1.261,0.129
286,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.547,0.056
287,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.231,0.024
288,AUS,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,13.352,1.366
